review_rating,review_comment,review_title,review_author
5,Good qualityREAD MORE,Terrific,Divyanshu Gupta
4,I am beginner dslr user.    And this DSLR guide me so easily on. Screeen….Best Dslr in this Range for YouTubers……photographers..READ MORE,Worth the money,Ajay .
5,Best dslr at this price pointYou can really achieve great photos with this cameraI have uploaded some samples🙂READ MORE,Best in the market!,Ram Prasad Kshatriya
5,Satisfied..! Best mid range camera for beginners and pros as well.I attached some pics shot by 50mm 1.8 prime  lens Best for photo and video as well .Eye autofocus works well .READ MORE,Super!,Flipkart Customer
5,awesomeREAD MORE,Best in the market!,SIDHIQUE  KM
5,This is awesome for the beginners and very optic to use and smooth photography with much clearances. I love this 200d mark ll and best choice to learn photography.READ MORE,Just wow!,Antony  Dinesh
5,Great camera at good price.READ MORE,Worth every penny,Saswat Tulo
4,Very nice CameraREAD MORE,Very Good,reyazuddin khan
5,"Bought this DSLR on Big billion sale. Very happy with the performence through 18-55 stm lens. Some sample photos which I have transferred to my mobile, are attached here. I am extremely happy with its low light performance. All the photos here are unedited. I was bit confused between M50 and 200d mark II but atlast choosed the later one for its wide variety of lens options.READ MORE",Must buy!,SNEHASIS KARMAKAR
5,"Awesome product, packing also best...READ MORE",Terrific,KEDAR PATHAK
